Time,Marble Name,Location,Level,Type
00:00:00.0,Hasangjekaj,Derp Vogel IV,0,Born
00:00:00.0,Naufal,JPMMXIV,0,Born
00:00:00.0,Blank,Jordan Tyo XI,0,Born
00:00:00.0,Zongzi,Snoozepilled IV,0,Born
00:00:00.0,Yukikazeri,Zinfane,0,Born
00:00:00.0,Tyco,-,0,Born
00:00:00.0,Sssisssii,Zinfane,0,Born
00:00:00.0,Wyldcloak,Derp Vogel IV,0,Born
00:00:00.0,Toby II,-,0,Born
00:00:00.0,JPMMXIV,-,0,Born
00:00:00.0,Zinfane,-,0,Born
00:00:00.0,IridumSky VI,-,0,Born
00:00:00.0,Derp Vogel IV,-,0,Born
00:00:00.0,SaltyBreadFairy III,-,0,Born
00:00:00.0,Jordan Tyo XI,-,0,Born
00:00:00.0,Syuvi II,-,0,Born
00:00:00.0,Snoozepilled IV,-,0,Born
00:00:00.0,TheDragonWarden V,Snoozepilled IV,0,Born
00:00:00.0,Obstagoon V,JPMMXIV,0,Born
00:00:00.0,Syuvi III,Jordan Tyo XI,0,Born
00:00:00.0,Wafer IV,Syuvi II,0,Born
00:00:00.0,Eugeo,Toby II,0,Born
00:00:00.0,Berangere,JPMMXIV,0,Born
00:00:00.0,Coto,IridumSky VI,0,Born
00:00:00.0,Ou Ki,SaltyBreadFairy III,0,Born
00:00:00.0,Toshiki,Snoozepilled IV,0,Born
00:00:07.0,Paragoonnova VII,Zinfane,0,Born
00:00:30.0,GgBt VI,IridumSky VI,0,Born
00:00:52.0,Tpvo,Jordan Tyo XI,0,Born
00:00:53.0,Taiyo,SaltyBreadFairy III,0,Born
00:00:54.0,Evan Star,JPMMXIV,0,Born
00:01:51.0,Andy IX,Snoozepilled IV,0,Born
00:02:14.0,Confouryou,Derp Vogel IV,0,Born
00:02:15.0,Manferth,Syuvi II,0,Born
00:03:23.0,Iturrioz,Obstagoon V,0,Born
00:03:24.0,Belenir,Zinfane,0,Born
00:04:36.0,Jomo,Zinfane,1,Born
00:06:39.0,Mrtheald,Toby II,0,Born
00:08:29.0,Gameing,JPMMXIV,0,Born
00:09:15.0,Greshul,Obstagoon V,0,Born
00:09:16.0,Rainbow,SaltyBreadFairy III,0,Born
00:10:28.0,Irida,Wyldcloak,0,Born
00:10:28.0,Jaxion,Derp Vogel IV,0,Born
00:10:29.0,Wtfovr,Syuvi II,0,Born
00:10:36.0,Ilyria,Derp Vogel IV,1,Born
00:10:43.0,Regalswiffer,SaltyBreadFairy III,0,Born
00:11:07.0,Ovo,Toby II,0,Born
00:11:10.0,Westonclark,Toby II,0,Born
00:11:24.0,Fais,Wyldcloak,0,Born
00:11:24.0,Ry,-,0,Born
00:11:53.0,Quackhead,Obstagoon V,0,Born
00:12:25.0,Satoshi,Derp Vogel IV,0,Born
00:12:28.0,Treemandud,Obstagoon V,0,Born
00:13:13.0,Mccorn,-,0,Born
00:13:16.0,Madness,Syuvi II,0,Born
00:15:42.0,Adda,Snoozepilled IV,0,Born
00:16:03.0,Leea,Derp Vogel IV,0,Born
00:16:07.0,Stickham,Jordan Tyo XI,0,Born
00:18:34.0,Echfaz,Syuvi II,0,Born
00:19:09.0,Xenagoras,Derp Vogel IV,0,Born
00:20:14.0,Aj Desperado,Toby II,0,Born
00:22:16.0,Dahea,-,0,Born
00:22:16.0,Kinemod,-,0,Born
00:22:16.0,Ethelse,Kinemod,0,Born
00:25:31.0,Witlutis,Syuvi II,0,Born
00:26:24.0,Dazze IV,Zinfane,0,Born
00:26:31.0,Zuri,Syuvi II,0,Born
00:26:43.0,Manipul,Derp Vogel IV,0,Born
00:26:43.0,Erebos,Derp Vogel IV,0,Born
00:26:51.0,Cagadozin,Kinemod,0,Born
00:26:58.0,Hilversum,Ou Ki,0,Born
00:28:42.0,Trinitwo,Zinfane,0,Born
00:28:45.0,Aintzile,Snoozepilled IV,0,Born
00:28:49.0,Unlucky,-,0,Born
00:29:16.0,Chaos,Snoozepilled IV,0,Born
00:29:17.0,Skibidi,Syuvi II,0,Born
00:29:29.5,Imgaytree,Toby II,0,Born
00:34:21.0,Ry,Fais,2,Revive
00:34:38.0,Gojenola,Snoozepilled IV,0,Born
00:35:16.0,Voidlord,Snoozepilled IV,0,Born
00:37:53.0,Type Forge,Snoozepilled IV,0,Born
00:38:57.0,Acidkat,Toby II,0,Born
00:40:35.0,Zaggorath,Snoozepilled IV,0,Born
00:41:00.0,Carmine,Snoozepilled IV,0,Born
00:42:04.0,Coward II,Toby II,0,Born
00:43:45.0,Stippo,-,0,Born
00:43:47.0,Gaphop,-,0,Born
00:45:06.0,Dahea,-,3,Revive
00:48:26.0,Muffinskill XIII,Toby II,0,Born
00:49:43.0,Sanae,-,0,Born
00:49:44.0,Imelda,Toby II,3,Summon
00:55:03.0,Dahea 2,Confouryou,3,Summon
00:55:21.0,(b)engel XII,-,0,Born
00:55:44.0,Egburt,Toby II,0,Born
00:58:14.0,Fen V,Dahea,0,Born
00:59:45.0,Xlc,-,4,Summon
01:00:59.0,Decaster,Dahea,0,Born
01:01:29.0,Chellbryt,-,0,Born
01:01:33.0,Axis V,Toby II,0,Born
01:02:26.0,Indiumlove,Toby II,0,Born
01:04:00.0,Nokyra,Toby II,0,Born
01:07:15.0,Unlucky,-,2,Revive
01:08:16.0,Rhoda,Toby II,0,Born
01:08:38.0,Nokyra,Toby II,2,Revive
