time,text
0:00:43.5,Rlie hac heen qranted an
0:00:43.75,Blue has been granted an upgrade.
0:00:55.5,Blue's king has become stronger.
0:00:58.0,Blue's king has become
0:01:7.25,Evan Star has been slain by unnamed marble
0:02:7.0,Cvan has been aranted an uparade.
0:02:7.25,Cyan has been granted an upgrade.
0:02:16.25,Cyan's king has become stronger.
0:02:56.75,-aragoonnova VII has been slain by unnamed marble
0:04:25.5,Captain Manferth has been slain by Blank
0:04:25.5,Blank All has players leveled receive up! an upgrade.
0:04:25.75,Blank has leveled up!
0:04:25.75,Captain Manferth has been slain by Blank
0:04:25.75,All players receive an upgrade.
0:04:26.0,Blank Nas leveled up!
0:04:26.0,Captain Manferth has been slain by Blank
0:04:26.0,All players receive an upgrade.
0:04:26.25,blank Nas leveled up:
0:04:26.25,Captain Manferth has been slain by Blank
0:04:26.25,All players receive an upgrade.
0:04:26.5,blank Nas leveled up:
0:04:26.5,Captain Manferth has been slain by Blank
0:04:26.5,All players receive an upgrade.
0:04:26.75,Blank Nas leveled up:
0:04:26.75,Captain Manferth has been slain by Blank
0:04:26.75,All players receive an upgrade.
0:04:27.0,Blank Nas leveled up:
0:04:27.0,Captain Manferth has been slain by Blank
0:04:27.0,All players receive an upgrade.
0:04:27.25,blank Nas leveled up:
0:04:27.25,Captain Manferth has been slain by Blank
0:04:27.25,All players receive an upgrade.
0:04:27.5,blank Nas leveled up:
0:04:27.5,Captain Manferth has been slain by Blank
0:04:27.5,All players receive an upgrade.
0:04:27.75,Blank Nas leveled up:
0:04:27.75,Captain Manferth has been slain by Blank
0:04:27.75,All players receive an upgrade.
0:04:28.0,Blank Nas leveled up:
0:04:28.0,Captain Manferth has been slain by Blank
0:04:28.0,All players receive an upgrade.
0:04:30.0,Blank Nas leveled up:
0:04:30.0,Captain Manferth has been slain by Blank
0:04:30.0,All players receive an upgrade.
0:04:30.25,blank Nas leveled up:
0:04:30.25,Captain Manferth has been slain by Blank
0:04:30.25,All players receive an upgrade.
0:04:30.5,blank Nas leveled up:
0:04:30.5,Captain Manferth has been slain by Blank
0:04:30.5,All players receive an upgrade.
0:04:30.75,Blank Nas leveled up:
0:04:30.75,Captain Manferth has been slain by Blank
0:04:30.75,All players receive an upgrade.
0:04:31.0,blank Nas leveled up:
0:04:31.0,Captain Manferth has been slain by Blank
0:04:31.0,All players receive an upgrade.
0:04:31.25,blank Nas leveled up:
0:04:31.25,Captain Manferth has been slain by Blank
0:04:31.25,All players receive an upgrade.
0:04:31.5,blank Nas leveled up:
0:04:31.5,Captain Manferth has been slain by Blank
0:04:31.5,All players receive an upgrade.
0:04:31.75,Captain Manferth has been slain by Blank
0:04:31.75,All players receive an upgrade.
0:04:31.75,Green's citv will cnawn an additional Archer
0:04:32.0,All Green's players city receive will an spawn upgrade. an additional Archer. SPA
0:04:32.0,Yellow received a Maae.
0:04:32.25,All Green's players city will an spawn upgrade. an additional Archer.
0:04:32.25,Yellow received a Mage.
0:04:32.5,OlEEM Pink's Ss CILY will WIT spawn an all additional Archer.
0:04:32.5,Yellow a received a Mage. received a Mana.
0:04:32.75,TENOW Blue TECEIVEU received at a Mage
0:04:32.75,Pink's Orange's city city will will spawn spawn an an additional additional Archer. Knight
0:04:33.0,Pink's city will spawn an additional Archer.
0:04:33.0,Blue received a Mage.
0:04:33.0,Orange's city will spawn an additional Knight
0:04:33.25,Pink's city will spawn an additional Archer.
0:04:33.25,Blue received a Mage.
0:04:33.25,Orange's city will spawn an additional Knight
0:04:33.5,City Will Spawn an Arcner.
0:04:33.5,Blue received a Mage.
0:04:33.5,Orange's city will spawn an additional Knight
0:04:33.75,Blue Red's received city a will Mage. spawn an additional Knight
0:04:33.75,Orange's city will spawn an additional Knight
0:04:34.0,DIVE a WIAYE. ee ee
0:04:34.0,Orange's city will spawn an additional Knight
0:04:34.0,Red's city will spawn an additional Knight
0:04:34.25,Orange's city will spawn an additional Knight
0:04:34.25,Red's city will spawn an additional Knight
0:04:34.25,Teal's city will spawn an additional Archer.
0:04:34.5,3 ee CMY a WIHT ee all
0:04:34.5,Red's city will spawn an additional Knight
0:04:34.5,Teal's city will spawn an additional Archer.
0:04:34.75,Red's city will spawn an additional Knight
0:04:34.75,Teal's city will spawn an additional Archer.
0:04:34.75,Cyan received a Mage.
0:04:35.0,Red's city will spawn an additional Knight
0:04:35.0,Teal's city will spawn an additional Archer.
0:04:35.0,Cyan received a Mage.
0:04:35.25,Red's city will spawn an additional Knight
0:04:35.25,Teal's city will spawn an additional Archer.
0:04:35.25,Cyan received a Mage.
0:04:35.5,Reds city will spawn an aadaitional Knight
0:04:35.5,Teal's city will spawn an additional Archer.
0:04:35.5,Cyan received a Mage.
0:04:35.75,Reds Will Spawn an aaaitional Knight
0:04:35.75,Teal's city will spawn an additional Archer.
0:04:35.75,Cyan received a Mage.
0:04:36.0,Keds cily Will Spawn an Knight
0:04:36.0,Teal's city will spawn an additional Archer.
0:04:36.0,Cyan received a Mage.
0:04:41.5,rears ChY WHT ary
0:04:41.5,Cyan received a Mage.
0:04:41.5,Purple received a Mage.
0:04:41.75,leals Wil Spawn an aaaitional AFCNer.
0:04:41.75,Cyan received a Mage.
0:04:41.75,Purple received a Mage.
0:04:42.0,leals City Will Spawn an AFCNer.
0:04:42.0,Cyan received a Mage.
0:04:42.0,Purple received a Mage.
0:04:42.25,leals city Wi Spawn an aaaitional
0:04:42.25,Cyan received a Mage.
0:04:42.25,Purple received a Mage.
0:04:42.5,city WI Spawn an aaaitional Arcner.
0:04:42.5,Cyan received a Mage.
0:04:42.5,Purple received a Mage.
0:04:42.75,leals cily Will Spawn an additional Archer.
0:04:42.75,Cyan received a Mage.
0:04:42.75,Purple received a Mage.
0:04:43.0,leals City Wil Spawn an Arcner.
0:04:43.0,Cyan received a Mage.
0:04:43.0,Purple received a Mage.
0:04:43.25,leals City WI Spawn an aaaitonal Arcner.
0:04:43.25,Cyan received a Mage.
0:04:43.25,Purple received a Mage.
0:04:43.5,leals city will an
0:04:43.5,Cyan received a Mage.
0:04:43.5,Purple received a Mage.
0:04:43.75,Cyan received a Mage.
0:04:43.75,Purple received a Mage.
0:04:44.0,Cyan received a Mage.
0:04:44.0,Purple received a Mage.
0:04:48.0,Zonazi has leveled up!
0:05:12.25,Zongzi has been slain by Prince Syuvi III
0:05:57.75,Prince Syuvi Ill has been slain by unnamed marble
0:05:59.25,Prince Syuvi II has been slain by unnamed marble
0:06:0.0,Prince Syuvi III has been slain by unnamed marble
0:06:0.25,Prince Syuvi II has been slain by unnamed marble
0:06:0.5,Prince Syuvi III has been slain by unnamed marble
0:06:1.0,Prince Syuvi Ill has been slain by unnamed marble
0:06:23.5,aa (0) 10
0:06:23.5,lits have spawned. Destroy them to receive a
0:06:23.5,lits have spawned. Destroy them to receive a reward.
0:06:23.75,JOMO Nas levered up!
0:06:23.75,lits have spawned. Destroy them to receive a reward.
0:06:24.0,Jomo Nas leveled up:
0:06:24.0,lits have spawned. Destroy them to receive a reward.
0:06:26.0,Jomo Nas leveled up:
0:06:26.0,lits have spawned. Destroy them to receive a reward.
0:06:28.0,Jomo Nas leveled up:
0:06:28.0,lits have spawned. Destroy them to receive a reward.
0:06:28.25,yomo Nas leveled up!
0:06:28.25,lits have spawned. Destroy them to receive a reward.
0:06:28.5,yomo Nas leveled up!
0:06:28.5,lits have spawned. Destroy them to receive a reward.
0:06:28.75,yomo Nas leveled up!
0:06:28.75,lits have spawned. Destroy them to receive a reward.
0:06:29.0,yomo Nas leveled up!
0:06:29.0,lits have spawned. Destroy them to receive a reward.
0:06:29.25,eS er
0:06:29.25,lits have spawned. Destroy them to receive a reward.
0:06:29.5,lits Teal have has spawned. been Destroy granted them an to upgrade. receive a reward.
0:06:29.5,lits have spawned. Destroy them to receive a reward.
0:06:29.75,Teal has been granted an upgrade.
0:06:30.0,lits have spawned. Destroy them to receive a reward.
0:06:30.0,Teal has been granted an upgrade.
0:06:30.25,its nave spawned. Destroy them to receive a reward.
0:06:30.25,lits have spawned. Destroy them to receive a reward.
0:06:30.25,Teal has been granted an upgrade.
0:06:30.5,tS Nave spawned. them to receive a reward.
0:06:30.5,lits have spawned. Destroy them to receive a reward.
0:06:30.5,Teal has been granted an upgrade.
0:06:30.75,Nave spawned. Vestroy them to receive a reward.
0:06:30.75,lits have spawned. Destroy them to receive a reward.
0:06:30.75,Teal has been granted an upgrade.
0:06:31.0,Nave spawned. Vestroy them to receive a reward.
0:06:31.0,lits have spawned. Destroy them to receive a reward.
0:06:31.0,Teal has been granted an upgrade.
0:06:31.25,Nave spawned. Vestroy them to receive a rewald.
0:06:31.25,lits have spawned. Destroy them to receive a reward.
0:06:31.25,Teal has been granted an upgrade.
0:06:42.25,Teal received a Necromancer.
0:07:4.25,Yellow has been granted an upgrade.
0:07:44.25,Yellow received a Necromancer.
0:07:44.5,Yellow has been granted an upgrade.
0:07:44.5,Yellow received a Necromancer.
0:07:44.75,Yellow has been granted an upgrade.
0:07:44.75,Yellow received a Necromancer.
0:07:45.0,Yellow has been granted an upgrade.
0:07:45.0,Yellow received a Necromancer.
0:07:45.25,Yellow has been granted an upgrade.
0:07:45.25,Yellow received a Necromancer.
0:07:45.5,Yellow has been granted an upgrade.
0:07:45.5,Yellow received a Necromancer.
0:07:45.75,Yellow has been granted an upgrade.
0:07:45.75,Yellow received a Necromancer.
0:07:46.0,Yellow has been granted an upgrade.
0:07:46.0,Yellow received a Necromancer.
0:07:46.25,Yellow has been granted an upgrade.
0:07:46.25,Yellow received a Necromancer.
0:08:0.5,Prince Fliqeo ha
0:08:0.75,Naufal has leveled up!
0:08:0.75,Prince Eugeo has been slain by Naufal
0:08:1.0,Naufal has leveled up!
0:08:1.0,Prince Eugeo has been slain by Naufal
0:08:1.25,Naufal has leveled up!
0:08:1.25,Prince Eugeo has been slain by Naufal
0:08:1.5,Naufal has leveled up!
0:08:1.5,Prince Eugeo has been slain by Naufal
0:08:1.75,Naufal has leveled up!
0:08:1.75,Prince Eugeo has been slain by Naufal
0:08:2.0,Naufal has leveled up!
0:08:2.0,Prince Eugeo has been slain by Naufal
0:08:4.0,Naufal has leveled up!
0:08:4.0,Prince Eugeo has been slain by Naufal
0:08:4.25,Naufal has leveled up!
0:08:4.25,Prince Eugeo has been slain by Naufal
0:08:4.5,Naufal has leveled up!
0:08:4.5,Prince Eugeo has been slain by Naufal
0:08:4.75,Naufal has leveled up!
0:08:4.75,Prince Eugeo has been slain by Naufal
0:08:5.0,Naufal has leveled up!
0:08:5.0,Prince Eugeo has been slain by Naufal
0:08:5.25,Nautal | Nas | leveled up!
0:08:5.25,Prince Cantain Eugeo Mrtheald has hac been hase slain by as Naufal leveled un!
0:08:5.5,JPMMXIV has leveled up!
0:08:5.5,Captain Mrtheald has been slain by King JPMMXIV
0:08:5.75,Prince JPMMXIV Eugeo has has leveled been up! slain by Naufal
0:08:5.75,Captain Mrtheald has been slain by King JPMMXIV
0:08:6.0,Prince Eugeo has been slain by Naufal
0:08:6.0,JPMMXIV has leveled up!
0:08:6.0,Captain Mrtheald has been slain by King JPMMXIV
0:08:6.25,Prince Eugeo has been slain by Nautal
0:08:6.25,JPMMXIV has leveled up!
0:08:6.25,Captain Mrtheald has been slain by King JPMMXIV
0:08:6.5,Prince Eugeo nas been slain by Nautal
0:08:6.5,JPMMXIV has leveled up!
0:08:6.5,Captain Mrtheald has been slain by King JPMMXIV
0:08:6.75,Prince Nas been Slain by Nautal
0:08:6.75,JPMMXIV has leveled up!
0:08:6.75,Captain Mrtheald has been slain by King JPMMXIV
0:08:7.0,Prince CUGEeO Nas been Slain by Nautal
0:08:7.0,JPMMXIV has leveled up!
0:08:7.0,Captain Mrtheald has been slain by King JPMMXIV
0:08:7.25,Frince Nas been slain by Nautal
0:08:7.25,JPMMXIV has leveled up!
0:08:7.25,Captain Mrtheald has been slain by King JPMMXIV
0:08:7.5,Frince Nas been slain by Nautal
0:08:7.5,JPMMXIV has leveled up!
0:08:7.5,Captain Mrtheald has been slain by King JPMMXIV
0:08:7.75,Frince Nas been slain by Nautal
